LGA Name,LGA,Region,Loss,SEIFA Score,SEIFA Rank,SEIFA Rank County,SEIFA Rank Metro,Adult 2022,Adults Per venue,EGM per 1000 Adults,EXP per adult,Workforce Jun 22,Unemployed Jun 22,Unemployment rate Jun 22
Casey,M23,Metro,"114,664,060.26",1004,49,0,8,"284,736","21,903",3,403,"212,327","13,134",6.20%
Cardinia,M24,Metro,"24,313,333.94",1021,59,0,14,"92,419","18,484",4,263,"70,713","3,977",5.60%
Yarra Ranges,M25,Metro,"21,873,008.93",1040,64,0,18,"125,755","13,973",4,174,"84,669","2,894",3.40%
Hume,M27,Metro,"104,550,447.16",947,13,0,3,"189,744","13,553",4,551,"124,004","10,778",8.70%
Brimbank,M28,Metro,"128,396,442.01",921,3,0,2,"168,275","11,218",6,763,"102,646","6,849",6.70%
Melton,M29,Metro,"61,122,751.26",994,40,0,5,"135,252","19,322",4,452,"91,800","5,179",5.60%
Hobsons Bay,M3,Metro,"34,829,848.63",1015,55,0,13,"78,369","8,708",7,444,"52,888","1,859",3.50%
Wyndham,M30,Metro,"87,520,355.84",1009,51,0,10,"220,299","16,946",4,397,"161,667","7,207",4.50%
Mornington Peninsula,M31,Metro,"67,412,975.05",1030,60,0,15,"138,058","8,121",6,488,"83,882","2,531",3.00%
Yarra,M4,Metro,"23,037,269.58",1035,63,0,17,"93,073","13,296",3,248,"73,318","3,153",4.30%
Maribyrnong,M5,Metro,"50,134,080.44",995,43,0,6,"84,688","9,410",6,592,"54,220","2,547",4.70%
Stonnington,M6,Metro,"15,247,317.24",1087,77,0,28,"105,541","21,108",2,144,"75,036","1,875",2.50%
Glen Eira,M7,Metro,"51,391,551.21",1074,74,0,27,"125,897","12,590",6,408,"87,712","2,277",2.60%
Bayside,M8,Metro,"10,161,035.99",1097,79,0,29,"86,049","17,210",2,118,"57,228","1,118",2.00%
Moonee Valley,M9,Metro,"62,465,544.32",1035,62,0,16,"109,575","9,961",7,570,"77,031","3,117",4.00%
Buloke,C7,Country,,967,24,20,0,"4,841", -   ,0, -   ,"2,893",81,2.80%
Golden Plains,C32,Country,,1035,61,45,0,"18,642", -   ,0, -   ,"13,413",258,1.90%
Hindmarsh,C8,Country,,945,10,8,0,"4,439", -   ,0, -   ,"2,690",92,3.40%
Indigo,C35,Country,,1016,57,43,0,"13,451", -   ,0, -   ,"9,135",139,1.50%
Loddon,C46,Country,,942,9,7,0,"6,116", -   ,0, -   ,"3,530",205,5.80%
Moyne,C36,Country,,1016,58,44,0,"13,296", -   ,0, -   ,"9,084",186,2.00%
Pyrenees,C44,Country,,952,17,14,0,"6,104", -   ,0, -   ,"3,278",142,4.30%
West Wimmera,C39,Country,,985,33,29,0,"2,917", -   ,0, -   ,"1,986",40,2.00%
Yarriambiack,C40,Country,,941,7,5,0,"5,172", -   ,0, -   ,"2,938",103,3.50%
Unincorporated Vic,,,,,,,,,,,,,,,,
